,balls,blue_balls,day,money_deposit,money_spend,month,open_date,red_balls,weekday,year
0,"['01', '07', '08', '23', '27', '28']",,2.0,130427310,82345328,1.0,,,6.0,2005.0
0,"['06', '09', '20', '26', '28', '33']",,4.0,130856606,69161632,1.0,,,1.0,2005.0
0,"['09', '12', '15', '19', '22', '31']",,6.0,106801512,74532408,1.0,,,3.0,2005.0
0,"['01', '04', '08', '09', '22', '23']",,9.0,94145228,87357176,1.0,,,6.0,2005.0
0,"['05', '09', '20', '26', '28', '33']",,11.0,100597478,70647958,1.0,,,1.0,2005.0
0,"['02', '04', '05', '15', '21', '31']",,13.0,98464204,74203108,1.0,,,3.0,2005.0
0,"['07', '15', '17', '20', '23', '33']",,16.0,109791408,86322510,1.0,,,6.0,2005.0
0,"['11', '19', '22', '27', '32', '33']",,18.0,110005324,72041750,1.0,,,1.0,2005.0
0,"['02', '17', '22', '27', '29', '31']",,20.0,111376322,74072772,1.0,,,3.0,2005.0
0,"['08', '10', '11', '18', '25', '26']",,23.0,91876180,86560850,1.0,,,6.0,2005.0
0,"['09', '11', '13', '15', '22', '30']",,25.0,102562630,70934662,1.0,,,1.0,2005.0
0,"['02', '03', '06', '16', '22', '31']",,27.0,98114924,73524782,1.0,,,3.0,2005.0
0,"['07', '08', '16', '19', '20', '24']",,30.0,59723073,85862110,1.0,,,6.0,2005.0
0,"['13', '19', '21', '23', '30', '32']",,1.0,61051878,70400450,2.0,,,1.0,2005.0
0,"['04', '08', '09', '16', '17', '29']",,3.0,68982783,71767638,2.0,,,3.0,2005.0
0,"['01', '05', '06', '12', '16', '30']",,6.0,86877775,85896264,2.0,,,6.0,2005.0
0,"['02', '06', '10', '25', '27', '31']",,16.0,91571416,69139166,2.0,,,2.0,2005.0
0,"['01', '03', '06', '22', '23', '25']",,17.0,100709900,70853674,2.0,,,3.0,2005.0
0,"['06', '11', '12', '13', '19', '22']",,20.0,100789176,80017318,2.0,,,6.0,2005.0
0,"['14', '16', '19', '20', '25', '29']",,22.0,100848451,71772338,2.0,,,1.0,2005.0
0,"['02', '06', '24', '26', '30', '31']",,24.0,108056690,74925080,2.0,,,3.0,2005.0
0,"['08', '10', '12', '21', '32', '33']",,27.0,73756112,87869528,2.0,,,6.0,2005.0
0,"['10', '15', '19', '20', '21', '25']",,1.0,67737564,70112088,3.0,,,1.0,2005.0
0,"['05', '09', '14', '27', '31', '32']",,3.0,58260000,72808046,3.0,,,3.0,2005.0
0,"['01', '07', '10', '11', '13', '32']",,6.0,64281922,83986854,3.0,,,6.0,2005.0
0,"['06', '12', '14', '20', '25', '26']",,8.0,72360968,72124158,3.0,,,1.0,2005.0
0,"['01', '03', '04', '06', '21', '32']",,10.0,81806582,74896882,3.0,,,3.0,2005.0
0,"['04', '09', '22', '25', '26', '32']",,13.0,91445748,83942448,3.0,,,6.0,2005.0
0,"['02', '14', '21', '22', '27', '30']",,15.0,102159495,73015078,3.0,,,1.0,2005.0
0,"['01', '05', '09', '14', '22', '28']",,17.0,93374391,78215814,3.0,,,3.0,2005.0
0,"['04', '10', '16', '20', '23', '32']",,20.0,105294059,88181316,3.0,,,6.0,2005.0
0,"['05', '15', '19', '20', '25', '29']",,22.0,90569540,75420852,3.0,,,1.0,2005.0
0,"['07', '08', '12', '14', '19', '20']",,24.0,107761872,76996234,3.0,,,3.0,2005.0
0,"['05', '17', '18', '25', '28', '32']",,27.0,69911648,92625150,3.0,,,6.0,2005.0
0,"['12', '16', '21', '28', '29', '30']",,29.0,78222863,73995036,3.0,,,1.0,2005.0
0,"['12', '19', '20', '21', '26', '31']",,31.0,91022448,76548738,3.0,,,3.0,2005.0
0,"['07', '12', '14', '22', '24', '32']",,3.0,97865355,88843416,4.0,,,6.0,2005.0
0,"['04', '07', '11', '20', '27', '28']",,5.0,103430748,76754210,4.0,,,1.0,2005.0
0,"['02', '16', '18', '19', '21', '29']",,7.0,99858268,78209132,4.0,,,3.0,2005.0
0,"['01', '12', '21', '24', '30', '32']",,10.0,111329404,89311042,4.0,,,6.0,2005.0
0,"['02', '11', '16', '23', '24', '29']",,12.0,103667406,78144480,4.0,,,1.0,2005.0
0,"['11', '16', '21', '26', '27', '30']",,14.0,100786410,79192448,4.0,,,3.0,2005.0
0,"['04', '05', '06', '07', '08', '32']",,17.0,72411962,91903906,4.0,,,6.0,2005.0
0,"['01', '06', '16', '17', '18', '22']",,19.0,83952868,70627418,4.0,,,1.0,2005.0
0,"['01', '07', '10', '15', '18', '20']",,21.0,99231829,77512424,4.0,,,3.0,2005.0
0,"['09', '16', '18', '20', '22', '24']",,24.0,115619699,91639786,4.0,,,6.0,2005.0
0,"['02', '03', '05', '07', '08', '27']",,26.0,120368756,77150922,4.0,,,1.0,2005.0
0,"['06', '07', '08', '10', '16', '28']",,28.0,126273226,80188244,4.0,,,3.0,2005.0
0,"['02', '03', '08', '10', '25', '27']",,1.0,127827112,87276712,5.0,,,6.0,2005.0
0,"['02', '09', '12', '20', '26', '32']",,3.0,132579703,68676002,5.0,,,1.0,2005.0
0,"['03', '06', '14', '19', '20', '21']",,5.0,134776738,72706272,5.0,,,3.0,2005.0
0,"['01', '02', '14', '17', '30', '32']",,8.0,137909685,90275684,5.0,,,6.0,2005.0
0,"['04', '07', '10', '14', '27', '29']",,10.0,128885553,76967356,5.0,,,1.0,2005.0
0,"['05', '13', '17', '18', '21', '29']",,12.0,129088876,81854430,5.0,,,3.0,2005.0
0,"['05', '20', '22', '30', '32', '33']",,15.0,128789536,93309308,5.0,,,6.0,2005.0
0,"['12', '17', '19', '27', '29', '31']",,17.0,114443196,76174508,5.0,,,1.0,2005.0
0,"['05', '06', '10', '15', '30', '31']",,19.0,116178805,79892628,5.0,,,3.0,2005.0
0,"['04', '06', '10', '21', '25', '26']",,22.0,119093702,93045298,5.0,,,6.0,2005.0
0,"['07', '11', '14', '18', '24', '29']",,24.0,97237525,78358206,5.0,,,1.0,2005.0
0,"['09', '12', '21', '25', '31', '33']",,26.0,101091978,80020874,5.0,,,3.0,2005.0
0,"['05', '09', '14', '21', '23', '24']",,29.0,109736636,91763234,5.0,,,6.0,2005.0
0,"['02', '07', '11', '12', '20', '23']",,31.0,96133228,78069394,5.0,,,1.0,2005.0
0,"['02', '11', '13', '18', '22', '30']",,2.0,100469382,78062342,6.0,,,3.0,2005.0
0,"['10', '18', '23', '27', '30', '32']",,5.0,99870563,91725346,6.0,,,6.0,2005.0
0,"['12', '16', '17', '21', '22', '23']",,7.0,105283750,78406326,6.0,,,1.0,2005.0
0,"['02', '04', '10', '11', '25', '28']",,9.0,100868190,78834656,6.0,,,3.0,2005.0
0,"['03', '12', '16', '20', '21', '26']",,12.0,100447230,91360150,6.0,,,6.0,2005.0
0,"['01', '08', '10', '13', '25', '33']",,14.0,91663380,76931454,6.0,,,1.0,2005.0
0,"['07', '09', '21', '24', '31', '33']",,16.0,106203875,77421708,6.0,,,3.0,2005.0
0,"['03', '04', '08', '14', '16', '26']",,19.0,105174796,93029490,6.0,,,6.0,2005.0
0,"['04', '08', '12', '14', '16', '22']",,21.0,111539233,76440970,6.0,,,1.0,2005.0
0,"['06', '10', '19', '20', '24', '33']",,23.0,96894783,79624618,6.0,,,3.0,2005.0
0,"['01', '06', '08', '09', '18', '20']",,26.0,106273162,91231396,6.0,,,6.0,2005.0
0,"['06', '09', '18', '20', '26', '29']",,28.0,90304588,77117314,6.0,,,1.0,2005.0
0,"['11', '13', '14', '16', '18', '31']",,30.0,89204914,77727922,6.0,,,3.0,2005.0
0,"['04', '09', '11', '22', '25', '28']",,3.0,100832903,89406860,7.0,,,6.0,2005.0
0,"['08', '17', '22', '24', '32', '33']",,5.0,103010197,76776232,7.0,,,1.0,2005.0
0,"['03', '11', '15', '20', '26', '32']",,7.0,104648720,78597462,7.0,,,3.0,2005.0
0,"['03', '09', '20', '24', '25', '28']",,10.0,101141394,90690486,7.0,,,6.0,2005.0
0,"['01', '12', '14', '26', '27', '32']",,12.0,103587874,77732422,7.0,,,1.0,2005.0
0,"['02', '04', '10', '12', '26', '30']",,14.0,98671500,78229226,7.0,,,3.0,2005.0
0,"['01', '07', '11', '14', '19', '20']",,17.0,--,90397368,7.0,,,6.0,2005.0
0,"['03', '05', '09', '14', '16', '30']",,19.0,99788079,76251350,7.0,,,1.0,2005.0
0,"['01', '02', '07', '15', '19', '20']",,21.0,76757496,78941520,7.0,,,3.0,2005.0
0,"['08', '09', '13', '14', '20', '22']",,24.0,91933970,89568388,7.0,,,6.0,2005.0
0,"['07', '11', '12', '24', '27', '29']",,26.0,81535680,77364602,7.0,,,1.0,2005.0
0,"['08', '09', '15', '16', '23', '26']",,28.0,88467922,79213276,7.0,,,3.0,2005.0
0,"['01', '03', '07', '18', '20', '24']",,31.0,93975816,90904986,7.0,,,6.0,2005.0
0,"['05', '19', '20', '23', '26', '31']",,2.0,111214886,79337620,8.0,,,1.0,2005.0
0,"['01', '09', '21', '25', '29', '32']",,4.0,114008382,82913536,8.0,,,3.0,2005.0
0,"['01', '11', '12', '15', '26', '27']",,7.0,110381478,95665834,8.0,,,6.0,2005.0
0,"['08', '13', '19', '26', '28', '31']",,9.0,96434568,82564864,8.0,,,1.0,2005.0
0,"['04', '06', '17', '23', '25', '29']",,11.0,96312056,81066546,8.0,,,3.0,2005.0
0,"['03', '05', '09', '23', '27', '33']",,14.0,116888019,92955416,8.0,,,6.0,2005.0
0,"['09', '12', '18', '21', '28', '29']",,16.0,123187891,81902156,8.0,,,1.0,2005.0
0,"['04', '05', '17', '18', '26', '33']",,18.0,126668644,85977004,8.0,,,3.0,2005.0
0,"['05', '10', '23', '27', '28', '30']",,21.0,112545980,95744622,8.0,,,6.0,2005.0
0,"['12', '15', '19', '22', '31', '33']",,23.0,110972222,82354218,8.0,,,1.0,2005.0
0,"['10', '13', '16', '22', '24', '31']",,25.0,98913156,84539242,8.0,,,3.0,2005.0
0,"['02', '04', '09', '14', '16', '31']",,28.0,122812351,98607066,8.0,,,6.0,2005.0
0,"['09', '16', '19', '21', '22', '24']",,30.0,126863883,83203780,8.0,,,1.0,2005.0
0,"['02', '05', '06', '14', '24', '31']",,1.0,135639051,85261292,9.0,,,3.0,2005.0
0,"['04', '07', '16', '18', '23', '30']",,4.0,104535767,101882938,9.0,,,6.0,2005.0
0,"['02', '04', '21', '23', '30', '33']",,6.0,107423543,87523934,9.0,,,1.0,2005.0
0,"['04', '15', '23', '30', '32', '33']",,8.0,105399928,87687830,9.0,,,3.0,2005.0
0,"['01', '11', '13', '24', '26', '31']",,11.0,79600650,99286104,9.0,,,6.0,2005.0
0,"['09', '10', '20', '24', '25', '26']",,13.0,77276274,84794920,9.0,,,1.0,2005.0
0,"['03', '10', '12', '24', '29', '30']",,15.0,60555032,84723006,9.0,,,3.0,2005.0
0,"['03', '05', '13', '15', '17', '31']",,18.0,74648356,95781382,9.0,,,6.0,2005.0
0,"['07', '10', '16', '19', '24', '25']",,20.0,77314136,80799964,9.0,,,1.0,2005.0
0,"['03', '07', '15', '16', '19', '29']",,22.0,92057094,84986902,9.0,,,3.0,2005.0
0,"['04', '12', '22', '28', '29', '30']",,25.0,108286349,96648022,9.0,,,6.0,2005.0
0,"['15', '18', '20', '22', '26', '27']",,27.0,94310536,84045660,9.0,,,1.0,2005.0
0,"['06', '07', '10', '15', '21', '27']",,29.0,99798190,83220546,9.0,,,3.0,2005.0
0,"['03', '12', '18', '23', '30', '33']",,2.0,105784038,100744056,10.0,,,6.0,2005.0
0,"['04', '06', '08', '14', '15', '30']",,4.0,100311500,82761716,10.0,,,1.0,2005.0
0,"['06', '17', '22', '27', '28', '32']",,6.0,103478865,88046422,10.0,,,3.0,2005.0
0,"['04', '09', '12', '15', '26', '31']",,9.0,97330794,100005930,10.0,,,6.0,2005.0
0,"['01', '07', '11', '18', '20', '22']",,11.0,111323443,84606492,10.0,,,1.0,2005.0
0,"['01', '06', '13', '18', '30', '32']",,13.0,119219696,85309164,10.0,,,3.0,2005.0
0,"['01', '07', '20', '25', '31', '32']",,16.0,122045276,98424618,10.0,,,6.0,2005.0
0,"['01', '04', '07', '14', '30', '32']",,18.0,122740488,86580310,10.0,,,1.0,2005.0
0,"['11', '12', '13', '17', '18', '25']",,20.0,106298320,88748762,10.0,,,3.0,2005.0
0,"['05', '06', '10', '19', '31', '33']",,23.0,95778891,100141228,10.0,,,6.0,2005.0
0,"['06', '14', '18', '28', '31', '32']",,25.0,86331035,87866546,10.0,,,1.0,2005.0
0,"['02', '08', '13', '19', '25', '26']",,27.0,34551075,89725146,10.0,,,3.0,2005.0
0,"['04', '06', '11', '14', '23', '25']",,30.0,67651420,100319936,10.0,,,6.0,2005.0
0,"['02', '04', '14', '23', '29', '33']",,1.0,49975632,90364038,11.0,,,1.0,2005.0
0,"['05', '10', '14', '20', '27', '33']",,3.0,80168399,92402414,11.0,,,3.0,2005.0
0,"['03', '05', '09', '15', '20', '25']",,6.0,67536960,107409392,11.0,,,6.0,2005.0
0,"['02', '07', '10', '11', '12', '24']",,8.0,82298616,92470384,11.0,,,1.0,2005.0
0,"['02', '04', '10', '18', '27', '29']",,10.0,103362613,94130152,11.0,,,3.0,2005.0
0,"['01', '07', '14', '16', '18', '25']",,13.0,101654338,112647856,11.0,,,6.0,2005.0
0,"['04', '13', '14', '18', '26', '30']",,15.0,110313635,96024468,11.0,,,1.0,2005.0
0,"['01', '05', '13', '15', '21', '25']",,17.0,110858234,98055380,11.0,,,3.0,2005.0
0,"['05', '14', '16', '18', '25', '27']",,20.0,109954896,110922040,11.0,,,6.0,2005.0
0,"['03', '09', '15', '23', '25', '33']",,22.0,106407506,94838566,11.0,,,1.0,2005.0
0,"['03', '05', '06', '11', '20', '22']",,24.0,116771293,99148234,11.0,,,3.0,2005.0
0,"['02', '07', '20', '23', '32', '33']",,27.0,104663808,113954368,11.0,,,6.0,2005.0
0,"['04', '06', '07', '08', '12', '17']",,29.0,103404410,97816778,11.0,,,1.0,2005.0
0,"['03', '05', '08', '12', '16', '19']",,1.0,92018980,98736818,12.0,,,3.0,2005.0
0,"['07', '10', '12', '17', '22', '29']",,4.0,76423134,107920884,12.0,,,6.0,2005.0
0,"['03', '10', '15', '17', '20', '32']",,6.0,69017880,89833786,12.0,,,1.0,2005.0
0,"['01', '08', '14', '15', '19', '27']",,8.0,64279302,93615492,12.0,,,3.0,2005.0
0,"['03', '07', '08', '17', '20', '28']",,11.0,62495300,107763236,12.0,,,6.0,2005.0
